"Phytophthora","Host","Level.4","Level.3","Level.2","Level.1","Scotland"
"P. alni","Alnus","Great Britain","Great Britain","Northern Europe","Europe",3
"P. austrocedri","Callitropsis","Great Britain","Great Britain","Northern Europe","Europe",1
"P. austrocedri","Chaenomeles","Great Britain","Great Britain","Northern Europe","Europe",1
"P. austrocedri","Chamaecyparis","Great Britain","Great Britain","Northern Europe","Europe",4
"P. austrocedri","Cupressus","Great Britain","Great Britain","Northern Europe","Europe",1
"P. austrocedri","Fagus","Great Britain","Great Britain","Northern Europe","Europe",1
"P. austrocedri","Hesperotropsis","Great Britain","Great Britain","Northern Europe","Europe",2
"P. austrocedri","Juniperus","Great Britain","Great Britain","Northern Europe","Europe",331
"P. cinnamomi","Aucuba","Great Britain","Great Britain","Northern Europe","Europe",1
"P. cinnamomi","Calluna","Great Britain","Great Britain","Northern Europe","Europe",5
"P. cinnamomi","Castanea","Great Britain","Great Britain","Northern Europe","Europe",1
"P. cinnamomi","Chamaecyparis","Great Britain","Great Britain","Northern Europe","Europe",3
"P. cinnamomi","Erica","Great Britain","Great Britain","Northern Europe","Europe",2
"P. cinnamomi","Fagus","Great Britain","Great Britain","Northern Europe","Europe",1
"P. cinnamomi","Fragaria","Great Britain","Great Britain","Northern Europe","Europe",1
"P. cinnamomi","Gerbera","Great Britain","Great Britain","Northern Europe","Europe",1
"P. cinnamomi","Ilex","Great Britain","Great Britain","Northern Europe","Europe",1
"P. cinnamomi","Juniperus","Great Britain","Great Britain","Northern Europe","Europe",1
"P. cinnamomi","Kalmia","Great Britain","Great Britain","Northern Europe","Europe",2
"P. cinnamomi","Laurus","Great Britain","Great Britain","Northern Europe","Europe",2
"P. cinnamomi","Osmanthus","Great Britain","Great Britain","Northern Europe","Europe",1
"P. cinnamomi","Pericallis","Great Britain","Great Britain","Northern Europe","Europe",1
"P. cinnamomi","Physocarpus","Great Britain","Great Britain","Northern Europe","Europe",1
"P. cinnamomi","Pieris","Great Britain","Great Britain","Northern Europe","Europe",1
"P. cinnamomi","Pinus","Great Britain","Great Britain","Northern Europe","Europe",1
"P. cinnamomi","Prunus","Great Britain","Great Britain","Northern Europe","Europe",1
"P. cinnamomi","Rhododendron","Great Britain","Great Britain","Northern Europe","Europe",3
"P. cinnamomi","Sequoiadendron","Great Britain","Great Britain","Northern Europe","Europe",1
"P. cinnamomi","Tasmannia","Great Britain","Great Britain","Northern Europe","Europe",1
"P. cinnamomi","Taxus","Great Britain","Great Britain","Northern Europe","Europe",4
"P. cinnamomi","Tsuga","Great Britain","Great Britain","Northern Europe","Europe",2
"P. cinnamomi","Vaccinium","Great Britain","Great Britain","Northern Europe","Europe",1
"P. kernoviae","Fagus","Great Britain","Great Britain","Northern Europe","Europe",1
"P. kernoviae","Magnolia","Great Britain","Great Britain","Northern Europe","Europe",1
"P. kernoviae","Pieris","Great Britain","Great Britain","Northern Europe","Europe",1
"P. kernoviae","Rhododendron","Great Britain","Great Britain","Northern Europe","Europe",6
"P. pluvialis","Pseudotsuga","Great Britain","Great Britain","Northern Europe","Europe",2
"P. pluvialis","Tsuga","Great Britain","Great Britain","Northern Europe","Europe",28
"P. pseudosyringae","Acer","Great Britain","Great Britain","Northern Europe","Europe",2
"P. pseudosyringae","Betula","Great Britain","Great Britain","Northern Europe","Europe",1
"P. pseudosyringae","Fagus","Great Britain","Great Britain","Northern Europe","Europe",6
"P. pseudosyringae","Kalmia","Great Britain","Great Britain","Northern Europe","Europe",1
"P. pseudosyringae","Larix","Great Britain","Great Britain","Northern Europe","Europe",3
"P. pseudosyringae","Magnolia","Great Britain","Great Britain","Northern Europe","Europe",3
"P. pseudosyringae","Nothofagus","Great Britain","Great Britain","Northern Europe","Europe",2
"P. pseudosyringae","Pieris","Great Britain","Great Britain","Northern Europe","Europe",1
"P. pseudosyringae","Quercus","Great Britain","Great Britain","Northern Europe","Europe",6
"P. pseudosyringae","Rhododendron","Great Britain","Great Britain","Northern Europe","Europe",1
"P. ramorum","Abies","Great Britain","Great Britain","Northern Europe","Europe",1
"P. ramorum","Chamaecyparis","Great Britain","Great Britain","Northern Europe","Europe",2
"P. ramorum","Fagus","Great Britain","Great Britain","Northern Europe","Europe",1
"P. ramorum","Garrya","Great Britain","Great Britain","Northern Europe","Europe",1
"P. ramorum","Kalmia","Great Britain","Great Britain","Northern Europe","Europe",7
"P. ramorum","Larix","Great Britain","Great Britain","Northern Europe","Europe",3188
"P. ramorum","Magnolia","Great Britain","Great Britain","Northern Europe","Europe",2
"P. ramorum","Nothofagus","Great Britain","Great Britain","Northern Europe","Europe",1
"P. ramorum","Osmanthus","Great Britain","Great Britain","Northern Europe","Europe",1
"P. ramorum","Picea","Great Britain","Great Britain","Northern Europe","Europe",25
"P. ramorum","Pieris","Great Britain","Great Britain","Northern Europe","Europe",11
"P. ramorum","Rhododendron","Great Britain","Great Britain","Northern Europe","Europe",348
"P. ramorum","Tsuga","Great Britain","Great Britain","Northern Europe","Europe",10
"P. ramorum","Vaccinium","Great Britain","Great Britain","Northern Europe","Europe",2
"P. ramorum","Viburnum","Great Britain","Great Britain","Northern Europe","Europe",15
