"std_name_p","species","genus","location"
"P. boehmeriae","Boehmeria nivea","Boehmeria","Russia"
"P. cactorum","Boehmeria cylindrica","Boehmeria","Russia"
"P. cactorum","Boehmeria nivea","Boehmeria","Russia"
"P. cactorum","Cedrus deodara","Cedrus","USSR"
"P. cactorum","Hevea brasiliensis","Hevea","USSR"
"P. cactorum","Lilium regale","Lilium","Russia"
"P. cactorum",NA,"Panax","USSR"
"P. capsici","Solanum lycopersicum","Solanum","USSR"
"P. cinnamomi",NA,"Nicotiana","Russia"
"P. cinnamomi","Tanacetum cinerariifolium","Tanacetum","Russia"
"P. cryptogea",NA,"Gerbera","USSR"
"P. fragariae","Fragaria × ananassa","Fragaria","Russia"
"P. infestans",NA,"Acer","USSR"
"P. infestans","Solanum dulcamara","Solanum","Russia"
"P. infestans","Solanum lycopersicum","Solanum","Russia"
"P. infestans","Solanum melongena","Solanum","Russia"
"P. infestans","Solanum tuberosum","Solanum","Russia"
"P. infestans",NA,"Tilia","USSR"
"P. infestans",NA,NA,"Russia"
"P. nicotianae","Ricinus communis","Ricinus","USSR"
"P. phaseoli","Phaseolus lunatus","Phaseolus","Russia"
"P. plurivora","× Sorbocotoneaster pozdnjakovii","Sorbocotoneaster","Russia"
"P. plurivora","Tripterygium regelii","Tripterygium","Russia"
"P. plurivora","Ulmus laevis","Ulmus","Russia"
"P. quercina","Quercus robur","Quercus","Russia"
"P. syringae","Syringa vulgaris","Syringa","USSR"
