"Key_Species","Phytophthora","Scot_wEnv","Scot_trade","Scot_total","UK_total"
"Alnus glutinosa","P. alni",1,0,2,26
"Juniperus communis","P. austrocedri",297,3,309,413
"Juniperus communis","P. castanetorum",0,2,2,4
"Juniperus communis","P. foliorum",0,1,1,1
"Juniperus communis","P. idaei",0,2,2,2
"Juniperus communis","P. lacustris",0,2,2,2
"Juniperus communis","P. obscura",0,1,1,1
"Juniperus communis","P. plurivora",0,1,1,3
"Juniperus communis","P. pseudocryptogea",0,1,1,2
"Juniperus communis","P. syringae",0,1,1,2
"Juniperus communis","Unspecified species",0,9,9,39
"Pinus sylvestris","P. × cambivora",0,1,1,1
"Pinus sylvestris","P. cryptogea",0,1,1,2
"Pinus sylvestris","P. plurivora",0,1,1,2
"Pinus sylvestris","P. pseudocryptogea",0,1,1,3
"Pinus sylvestris","P. syringae",0,1,1,1
"Pinus sylvestris","P. uniformis",0,1,1,1
"Pinus sylvestris","Unspecified species",0,3,3,13
"Populus tremula","P. idaei",0,2,2,2
"Populus tremula","P. lacustris",0,1,1,1
"Populus tremula","Unspecified species",0,2,2,2
"Pseudotsuga menziesii","P. citricola",0,2,2,2
"Pseudotsuga menziesii","P. cryptogea",0,2,2,3
"Pseudotsuga menziesii","P. foliorum",0,1,1,3
"Pseudotsuga menziesii","P. kelmanii",0,2,2,2
"Pseudotsuga menziesii","P. obscura",0,1,1,3
"Pseudotsuga menziesii","P. plurivora",0,3,3,4
"Pseudotsuga menziesii","P. pluvialis",2,0,2,3
"Pseudotsuga menziesii","P. pseudocryptogea",0,2,2,3
"Pseudotsuga menziesii","P. pseudotsugae",0,3,3,4
"Pseudotsuga menziesii","P. uliginosa",0,2,2,2
"Pseudotsuga menziesii","Unspecified species",0,14,14,21
"Quercus ilex","P. castanetorum",0,1,1,3
"Quercus ilex","P. nicotianae",0,1,1,1
"Quercus ilex","Unspecified species",0,3,3,6
"Quercus petraea","P. gonapodyides",0,1,1,1
"Quercus petraea","P. plurivora",0,1,1,1
"Quercus petraea","P. psychrophila",0,1,1,1
"Quercus petraea","P. syringae",0,1,1,1
"Quercus petraea","Unspecified species",0,2,2,3
"Quercus robur","P. castanetorum",0,3,3,4
"Quercus robur","P. foliorum",0,1,1,1
"Quercus robur","P. quercina",0,0,1,3
"Quercus robur","Unspecified species",0,5,5,9
"Tsuga heterophylla","P. × cambivora",0,1,1,1
"Tsuga heterophylla","P. cinnamomi",0,1,1,1
"Tsuga heterophylla","P. cryptogea",0,1,1,1
"Tsuga heterophylla","P. pluvialis",28,0,28,30
"Tsuga heterophylla","P. pseudocryptogea",0,1,1,1
"Tsuga heterophylla","P. ramorum",10,0,10,10
"Tsuga heterophylla","P. uniformis",0,1,1,1
"Tsuga heterophylla","Unspecified species",0,1,1,1
"Vaccinium myrtillus","P. ramorum",2,0,2,93
